     3     7
     1     1     3.14
     2     3     0.30
     3     3     4.1
     2     1     4.1
     1     2     7.5
     3     2     1.0
     2     2     3.2
     1.0      2.0          3.0
     4.7      0.31         0.0          3.2          6.2
     3.1      0.0
     1.1      2.1          3.1
     4     3       10
     1     1       3.14000D+05
     2     3       0.30
     3     3       4.10000D+02
     2     1       4.1
     1     2       7.50000D+01
     3     2       1.00000D+00
     2     2       3.20000D-03
     4     1       1.00000D+00
     4     2       1.00000D+00
     4     3       1.00000D+00
  0.31415D+06  0.50064D+01  0.12320D+04 0.60000D+01
